Episode	 Steps	 Score	 Best_Score	 Epsilon	
211	 250	 0.00	 0.82	 0.53	
212	 250	 0.00	 0.82	 0.53	
213	 232	 0.16	 0.82	 0.52	
214	 250	 0.00	 0.82	 0.52	
215	 250	 0.00	 0.82	 0.52	
216	 250	 0.00	 0.82	 0.52	
217	 250	 0.00	 0.82	 0.51	
218	 250	 0.00	 0.82	 0.51	
219	 250	 0.00	 0.82	 0.51	
220	 250	 0.00	 0.82	 0.51	
221	 81	 0.71	 0.82	 0.51	
222	 250	 0.00	 0.82	 0.50	
223	 250	 0.00	 0.82	 0.50	
224	 250	 0.00	 0.82	 0.50	
225	 250	 0.00	 0.82	 0.50	
226	 250	 0.00	 0.82	 0.49	
227	 150	 0.46	 0.82	 0.49	
228	 52	 0.81	 0.82	 0.49	
229	 250	 0.00	 0.82	 0.49	
230	 250	 0.00	 0.82	 0.49	
231	 188	 0.32	 0.82	 0.49	
232	 250	 0.00	 0.82	 0.48	
233	 250	 0.00	 0.82	 0.48	
234	 130	 0.53	 0.82	 0.48	
235	 250	 0.00	 0.82	 0.48	
236	 250	 0.00	 0.82	 0.47	
237	 250	 0.00	 0.82	 0.47	
238	 189	 0.32	 0.82	 0.47	
239	 250	 0.00	 0.82	 0.47	
240	 250	 0.00	 0.82	 0.46	
241	 250	 0.00	 0.82	 0.46	
242	 91	 0.67	 0.82	 0.46	
243	 250	 0.00	 0.82	 0.46	
244	 250	 0.00	 0.82	 0.46	
245	 250	 0.00	 0.82	 0.45	
246	 186	 0.33	 0.82	 0.45	
247	 250	 0.00	 0.82	 0.45	
248	 250	 0.00	 0.82	 0.45	
249	 250	 0.00	 0.82	 0.44	
250	 250	 0.00	 0.82	 0.44	
251	 250	 0.00	 0.82	 0.44	
252	 250	 0.00	 0.82	 0.44	
253	 250	 0.00	 0.82	 0.43	
254	 250	 0.00	 0.82	 0.43	
255	 77	 0.72	 0.82	 0.43	
256	 97	 0.65	 0.82	 0.43	
257	 23	 0.92	 0.82	 0.43	
258	 31	 0.89	 0.92	 0.43	
259	 250	 0.00	 0.92	 0.43	
260	 250	 0.00	 0.92	 0.42	
261	 250	 0.00	 0.92	 0.42	
262	 107	 0.61	 0.92	 0.42	
263	 250	 0.00	 0.92	 0.42	
264	 250	 0.00	 0.92	 0.42	
265	 65	 0.77	 0.92	 0.42	
266	 100	 0.64	 0.92	 0.41	
267	 143	 0.49	 0.92	 0.41	
268	 250	 0.00	 0.92	 0.41	
269	 250	 0.00	 0.92	 0.41	
270	 250	 0.00	 0.92	 0.41	
271	 250	 0.00	 0.92	 0.40	
272	 250	 0.00	 0.92	 0.40	
273	 250	 0.00	 0.92	 0.40	
274	 250	 0.00	 0.92	 0.40	
275	 250	 0.00	 0.92	 0.39	
276	 250	 0.00	 0.92	 0.39	
277	 250	 0.00	 0.92	 0.39	
278	 250	 0.00	 0.92	 0.39	
279	 250	 0.00	 0.92	 0.38	
280	 166	 0.40	 0.92	 0.38	
281	 250	 0.00	 0.92	 0.38	
282	 250	 0.00	 0.92	 0.38	
283	 250	 0.00	 0.92	 0.37	
284	 250	 0.00	 0.92	 0.37	
285	 250	 0.00	 0.92	 0.37	
286	 250	 0.00	 0.92	 0.37	
287	 250	 0.00	 0.92	 0.36	
288	 121	 0.56	 0.92	 0.36	
289	 250	 0.00	 0.92	 0.36	
290	 41	 0.85	 0.92	 0.36	
291	 250	 0.00	 0.92	 0.36	
292	 250	 0.00	 0.92	 0.35	
293	 250	 0.00	 0.92	 0.35	
294	 250	 0.00	 0.92	 0.35	
295	 250	 0.00	 0.92	 0.35	
296	 250	 0.00	 0.92	 0.34	
297	 123	 0.56	 0.92	 0.34	
298	 250	 0.00	 0.92	 0.34	
299	 250	 0.00	 0.92	 0.34	
300	 250	 0.00	 0.92	 0.34	
301	 112	 0.60	 0.92	 0.33	
302	 250	 0.00	 0.92	 0.33	
303	 250	 0.00	 0.92	 0.33	
304	 250	 0.00	 0.92	 0.33	
305	 250	 0.00	 0.92	 0.32	
306	 250	 0.00	 0.92	 0.32	
307	 250	 0.00	 0.92	 0.32	
308	 250	 0.00	 0.92	 0.32	
309	 250	 0.00	 0.92	 0.31	
310	 250	 0.00	 0.92	 0.31	
311	 250	 0.00	 0.92	 0.31	
312	 250	 0.00	 0.92	 0.31	
313	 250	 0.00	 0.92	 0.30	
314	 250	 0.00	 0.92	 0.30	
315	 199	 0.28	 0.92	 0.30	
316	 250	 0.00	 0.92	 0.30	
317	 250	 0.00	 0.92	 0.30	
318	 196	 0.29	 0.92	 0.29	
319	 250	 0.00	 0.92	 0.29	
320	 250	 0.00	 0.92	 0.29	
321	 103	 0.63	 0.92	 0.29	
322	 250	 0.00	 0.92	 0.28	
323	 250	 0.00	 0.92	 0.28	
324	 250	 0.00	 0.92	 0.28	
325	 250	 0.00	 0.92	 0.28	
326	 250	 0.00	 0.92	 0.27	
327	 250	 0.00	 0.92	 0.27	
328	 250	 0.00	 0.92	 0.27	
329	 250	 0.00	 0.92	 0.27	
330	 250	 0.00	 0.92	 0.26	
331	 250	 0.00	 0.92	 0.26	
332	 250	 0.00	 0.92	 0.26	
333	 250	 0.00	 0.92	 0.26	
334	 250	 0.00	 0.92	 0.25	
335	 250	 0.00	 0.92	 0.25	
336	 250	 0.00	 0.92	 0.25	
337	 250	 0.00	 0.92	 0.25	
338	 250	 0.00	 0.92	 0.24	
339	 250	 0.00	 0.92	 0.24	
340	 250	 0.00	 0.92	 0.24	
341	 141	 0.49	 0.92	 0.24	
342	 250	 0.00	 0.92	 0.24	
343	 250	 0.00	 0.92	 0.23	
344	 250	 0.00	 0.92	 0.23	
345	 250	 0.00	 0.92	 0.23	
346	 250	 0.00	 0.92	 0.23	
347	 250	 0.00	 0.92	 0.22	
348	 250	 0.00	 0.92	 0.22	
349	 250	 0.00	 0.92	 0.22	
350	 250	 0.00	 0.92	 0.22	
351	 250	 0.00	 0.92	 0.21	
352	 250	 0.00	 0.92	 0.21	
353	 250	 0.00	 0.92	 0.21	
354	 250	 0.00	 0.92	 0.21	
355	 250	 0.00	 0.92	 0.20	
356	 250	 0.00	 0.92	 0.20	
357	 250	 0.00	 0.92	 0.20	
358	 250	 0.00	 0.92	 0.20	
359	 250	 0.00	 0.92	 0.19	
360	 250	 0.00	 0.92	 0.19	
361	 250	 0.00	 0.92	 0.19	
362	 250	 0.00	 0.92	 0.19	
363	 250	 0.00	 0.92	 0.18	
364	 250	 0.00	 0.92	 0.18	
365	 250	 0.00	 0.92	 0.18	
366	 250	 0.00	 0.92	 0.18	
367	 250	 0.00	 0.92	 0.17	
368	 250	 0.00	 0.92	 0.17	
369	 250	 0.00	 0.92	 0.17	
370	 250	 0.00	 0.92	 0.17	
371	 250	 0.00	 0.92	 0.16	
372	 250	 0.00	 0.92	 0.16	
373	 250	 0.00	 0.92	 0.16	
374	 250	 0.00	 0.92	 0.16	
375	 250	 0.00	 0.92	 0.15	
376	 250	 0.00	 0.92	 0.15	
377	 250	 0.00	 0.92	 0.15	
378	 250	 0.00	 0.92	 0.15	
379	 250	 0.00	 0.92	 0.14	
380	 250	 0.00	 0.92	 0.14	
381	 250	 0.00	 0.92	 0.14	
382	 250	 0.00	 0.92	 0.14	
383	 250	 0.00	 0.92	 0.13	
384	 250	 0.00	 0.92	 0.13	
385	 250	 0.00	 0.92	 0.13	
386	 250	 0.00	 0.92	 0.13	
387	 250	 0.00	 0.92	 0.12	
388	 250	 0.00	 0.92	 0.12	
389	 250	 0.00	 0.92	 0.12	
390	 250	 0.00	 0.92	 0.12	
391	 250	 0.00	 0.92	 0.11	
