Episode	 Steps	 Score	 Best_Score	 Epsilon	
198	 227	 0.18	 0.95	 0.64	
199	 156	 0.44	 0.95	 0.64	
200	 250	 0.00	 0.95	 0.64	
201	 250	 0.00	 0.95	 0.64	
202	 188	 0.32	 0.95	 0.64	
203	 250	 0.00	 0.95	 0.63	
204	 92	 0.67	 0.95	 0.63	
205	 147	 0.47	 0.95	 0.63	
206	 181	 0.35	 0.95	 0.63	
207	 205	 0.26	 0.95	 0.63	
208	 250	 0.00	 0.95	 0.63	
209	 76	 0.73	 0.95	 0.62	
210	 60	 0.78	 0.95	 0.62	
211	 212	 0.24	 0.95	 0.62	
212	 250	 0.00	 0.95	 0.62	
213	 250	 0.00	 0.95	 0.62	
214	 250	 0.00	 0.95	 0.61	
215	 230	 0.17	 0.95	 0.61	
216	 134	 0.52	 0.95	 0.61	
217	 223	 0.20	 0.95	 0.61	
218	 48	 0.83	 0.95	 0.61	
219	 250	 0.00	 0.95	 0.61	
220	 91	 0.67	 0.95	 0.60	
221	 192	 0.31	 0.95	 0.60	
222	 250	 0.00	 0.95	 0.60	
223	 250	 0.00	 0.95	 0.60	
224	 250	 0.00	 0.95	 0.60	
225	 250	 0.00	 0.95	 0.59	
226	 72	 0.74	 0.95	 0.59	
227	 206	 0.26	 0.95	 0.59	
228	 114	 0.59	 0.95	 0.59	
229	 196	 0.29	 0.95	 0.59	
230	 250	 0.00	 0.95	 0.58	
231	 147	 0.47	 0.95	 0.58	
232	 250	 0.00	 0.95	 0.58	
233	 83	 0.70	 0.95	 0.58	
234	 237	 0.15	 0.95	 0.58	
235	 250	 0.00	 0.95	 0.57	
236	 250	 0.00	 0.95	 0.57	
237	 134	 0.52	 0.95	 0.57	
238	 113	 0.59	 0.95	 0.57	
239	 250	 0.00	 0.95	 0.57	
240	 250	 0.00	 0.95	 0.56	
241	 111	 0.60	 0.95	 0.56	
242	 204	 0.27	 0.95	 0.56	
243	 60	 0.78	 0.95	 0.56	
244	 250	 0.00	 0.95	 0.56	
245	 250	 0.00	 0.95	 0.56	
246	 250	 0.00	 0.95	 0.55	
247	 250	 0.00	 0.95	 0.55	
248	 250	 0.00	 0.95	 0.55	
249	 250	 0.00	 0.95	 0.55	
250	 65	 0.77	 0.95	 0.55	
251	 250	 0.00	 0.95	 0.54	
252	 250	 0.00	 0.95	 0.54	
253	 250	 0.00	 0.95	 0.54	
254	 250	 0.00	 0.95	 0.54	
255	 91	 0.67	 0.95	 0.53	
256	 250	 0.00	 0.95	 0.53	
257	 100	 0.64	 0.95	 0.53	
258	 59	 0.79	 0.95	 0.53	
259	 250	 0.00	 0.95	 0.53	
260	 38	 0.86	 0.95	 0.53	
261	 250	 0.00	 0.95	 0.52	
262	 117	 0.58	 0.95	 0.52	
263	 145	 0.48	 0.95	 0.52	
264	 205	 0.26	 0.95	 0.52	
265	 147	 0.47	 0.95	 0.52	
266	 65	 0.77	 0.95	 0.52	
267	 61	 0.78	 0.95	 0.52	
268	 250	 0.00	 0.95	 0.51	
269	 250	 0.00	 0.95	 0.51	
270	 28	 0.90	 0.95	 0.51	
271	 153	 0.45	 0.95	 0.51	
272	 156	 0.44	 0.95	 0.51	
273	 111	 0.60	 0.95	 0.51	
274	 250	 0.00	 0.95	 0.51	
275	 244	 0.12	 0.95	 0.50	
276	 199	 0.28	 0.95	 0.50	
277	 250	 0.00	 0.95	 0.50	
278	 250	 0.00	 0.95	 0.50	
279	 250	 0.00	 0.95	 0.49	
280	 250	 0.00	 0.95	 0.49	
281	 93	 0.67	 0.95	 0.49	
282	 77	 0.72	 0.95	 0.49	
283	 250	 0.00	 0.95	 0.49	
284	 233	 0.16	 0.95	 0.48	
285	 168	 0.40	 0.95	 0.48	
286	 57	 0.79	 0.95	 0.48	
287	 140	 0.50	 0.95	 0.48	
288	 250	 0.00	 0.95	 0.48	
289	 64	 0.77	 0.95	 0.48	
290	 250	 0.00	 0.95	 0.48	
291	 250	 0.00	 0.95	 0.47	
292	 113	 0.59	 0.95	 0.47	
293	 242	 0.13	 0.95	 0.47	
294	 151	 0.46	 0.95	 0.47	
295	 87	 0.69	 0.95	 0.47	
296	 223	 0.20	 0.95	 0.46	
297	 129	 0.54	 0.95	 0.46	
298	 49	 0.82	 0.95	 0.46	
299	 76	 0.73	 0.95	 0.46	
300	 49	 0.82	 0.95	 0.46	
301	 72	 0.74	 0.95	 0.46	
302	 179	 0.36	 0.95	 0.46	
303	 62	 0.78	 0.95	 0.46	
304	 85	 0.69	 0.95	 0.46	
305	 30	 0.89	 0.95	 0.46	
306	 71	 0.74	 0.95	 0.46	
307	 250	 0.00	 0.95	 0.45	
308	 250	 0.00	 0.95	 0.45	
309	 250	 0.00	 0.95	 0.45	
310	 178	 0.36	 0.95	 0.45	
311	 19	 0.93	 0.95	 0.45	
312	 22	 0.92	 0.95	 0.45	
313	 112	 0.60	 0.95	 0.45	
314	 105	 0.62	 0.95	 0.44	
315	 250	 0.00	 0.95	 0.44	
316	 241	 0.13	 0.95	 0.44	
317	 226	 0.19	 0.95	 0.44	
318	 47	 0.83	 0.95	 0.44	
319	 156	 0.44	 0.95	 0.44	
320	 250	 0.00	 0.95	 0.43	
321	 105	 0.62	 0.95	 0.43	
322	 20	 0.93	 0.95	 0.43	
323	 100	 0.64	 0.95	 0.43	
324	 98	 0.65	 0.95	 0.43	
325	 170	 0.39	 0.95	 0.43	
326	 250	 0.00	 0.95	 0.43	
327	 250	 0.00	 0.95	 0.42	
328	 250	 0.00	 0.95	 0.42	
329	 68	 0.76	 0.95	 0.42	
330	 250	 0.00	 0.95	 0.42	
331	 49	 0.82	 0.95	 0.42	
332	 48	 0.83	 0.95	 0.42	
333	 137	 0.51	 0.95	 0.41	
334	 16	 0.94	 0.95	 0.41	
335	 250	 0.00	 0.95	 0.41	
336	 250	 0.00	 0.95	 0.41	
337	 242	 0.13	 0.95	 0.41	
338	 196	 0.29	 0.95	 0.41	
339	 40	 0.86	 0.95	 0.40	
340	 29	 0.90	 0.95	 0.40	
341	 250	 0.00	 0.95	 0.40	
342	 71	 0.74	 0.95	 0.40	
343	 131	 0.53	 0.95	 0.40	
344	 199	 0.28	 0.95	 0.40	
345	 45	 0.84	 0.95	 0.40	
346	 31	 0.89	 0.95	 0.40	
347	 250	 0.00	 0.95	 0.39	
348	 90	 0.68	 0.95	 0.39	
349	 137	 0.51	 0.95	 0.39	
350	 12	 0.96	 0.95	 0.39	
351	 70	 0.75	 0.96	 0.39	
352	 250	 0.00	 0.96	 0.39	
353	 250	 0.00	 0.96	 0.39	
354	 22	 0.92	 0.96	 0.39	
355	 71	 0.74	 0.96	 0.39	
356	 18	 0.94	 0.96	 0.39	
357	 246	 0.11	 0.96	 0.38	
358	 250	 0.00	 0.96	 0.38	
359	 13	 0.95	 0.96	 0.38	
360	 30	 0.89	 0.96	 0.38	
361	 250	 0.00	 0.96	 0.38	
362	 192	 0.31	 0.96	 0.38	
363	 20	 0.93	 0.96	 0.38	
364	 178	 0.36	 0.96	 0.37	
365	 30	 0.89	 0.96	 0.37	
366	 67	 0.76	 0.96	 0.37	
367	 52	 0.81	 0.96	 0.37	
368	 180	 0.35	 0.96	 0.37	
369	 250	 0.00	 0.96	 0.37	
370	 13	 0.95	 0.96	 0.37	
371	 49	 0.82	 0.96	 0.37	
372	 32	 0.88	 0.96	 0.37	
373	 76	 0.73	 0.96	 0.37	
374	 90	 0.68	 0.96	 0.37	
375	 27	 0.90	 0.96	 0.37	
376	 69	 0.75	 0.96	 0.36	
377	 102	 0.63	 0.96	 0.36	
378	 41	 0.85	 0.96	 0.36	
379	 250	 0.00	 0.96	 0.36	
380	 23	 0.92	 0.96	 0.36	
381	 100	 0.64	 0.96	 0.36	
382	 125	 0.55	 0.96	 0.36	
383	 72	 0.74	 0.96	 0.36	
384	 122	 0.56	 0.96	 0.36	
385	 23	 0.92	 0.96	 0.36	
386	 152	 0.45	 0.96	 0.35	
387	 80	 0.71	 0.96	 0.35	
388	 190	 0.32	 0.96	 0.35	
389	 181	 0.35	 0.96	 0.35	
390	 121	 0.56	 0.96	 0.35	
391	 229	 0.18	 0.96	 0.35	
392	 12	 0.96	 0.96	 0.35	
393	 23	 0.92	 0.96	 0.35	
394	 9	 0.97	 0.96	 0.35	
395	 66	 0.76	 0.97	 0.35	
396	 22	 0.92	 0.97	 0.35	
397	 61	 0.78	 0.97	 0.34	
398	 27	 0.90	 0.97	 0.34	
399	 29	 0.90	 0.97	 0.34	
400	 250	 0.00	 0.97	 0.34	
401	 20	 0.93	 0.97	 0.34	
402	 145	 0.48	 0.97	 0.34	
403	 15	 0.95	 0.97	 0.34	
404	 250	 0.00	 0.97	 0.34	
405	 168	 0.40	 0.97	 0.34	
406	 250	 0.00	 0.97	 0.33	
407	 20	 0.93	 0.97	 0.33	
